City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.1927,168.8643,59.79,65,68,2.55,NZ,1681949014
1,castro,-24.7911,-50.0119,53.49,77,1,8.46,BR,1681948876
2,orlik,52.5178,99.825,3.92,76,27,2.48,RU,1681949014
3,qaanaaq,77.484,-69.3632,2.26,83,60,7.99,GL,1681949014
4,ushuaia,-54.8,-68.3,42.46,70,75,24.16,AR,1681948905
5,montego bay,18.4712,-77.9188,80.4,69,20,6.91,JM,1681948923
6,punta arenas,-53.15,-70.9167,42.91,70,0,20.71,CL,1681949015
7,busselton,-33.65,115.3333,58.95,56,0,7.2,AU,1681949015
8,mapimi,25.8167,-103.85,88.32,9,84,11.48,MX,1681949015
9,port elizabeth,-33.918,25.5701,69.31,82,0,6.91,ZA,1681948999
10,bengkulu,-3.8004,102.2655,75.49,90,100,3.98,ID,1681949016
11,kodiak,57.79,-152.4072,38.03,75,21,5.99,US,1681948861
12,bredasdorp,-34.5322,20.0403,61.27,67,100,4.74,ZA,1681949016
13,faanui,-16.4833,-151.75,82.54,78,98,12.03,PF,1681949016
14,kaitangata,-46.2817,169.8464,58.53,69,59,1.88,NZ,1681949016
15,luderitz,-26.6481,15.1594,59.59,81,77,7.2,NA,1681948779
16,axim,4.8699,-2.2405,79.29,85,98,3.87,GH,1681949017
17,nokha,27.6,73.4167,79.36,31,67,6.55,IN,1681949017
18,barrow,71.2906,-156.7887,17.62,73,100,8.05,US,1681949017
19,arraial do cabo,-22.9661,-42.0278,75.16,83,75,6.91,BR,1681949017
20,road town,18.4167,-64.6167,78.89,73,40,6.91,VG,1681949018
21,georgetown,5.4112,100.3354,78.73,94,40,5.99,MY,1681948819
22,atuona,-9.8,-139.0333,81.52,73,44,8.32,PF,1681948813
23,kapaa,22.0752,-159.319,81.1,68,40,16.11,US,1681949018
24,airai,-8.9266,125.4092,63.43,83,47,2.73,TL,1681949019
25,calhoun,42.2506,-85.0005,62.42,37,0,9.22,US,1681948921
26,sao filipe,14.8961,-24.4956,74.62,75,92,9.17,CV,1681949019
27,saskylakh,71.9167,114.0833,-2.85,100,99,5.06,RU,1681949019
28,mbandaka,0.0487,18.2603,73.8,85,95,4.27,CD,1681949019
29,ahipara,-35.1667,173.1667,72.16,72,99,13.13,NZ,1681949019
30,maceio,-9.6658,-35.7353,78.24,94,0,6.91,BR,1681949019
31,puerto ayora,-0.7393,-90.3518,74.55,100,100,1.99,EC,1681949020
32,gavrilov-yam,57.3018,39.8533,31.84,67,27,4.65,RU,1681949020
33,praia da vitoria,38.7333,-27.0667,55.65,82,40,15.28,PT,1681949020
34,goundi,9.3627,17.366,89.92,35,77,2.89,TD,1681949020
35,dikson,73.5069,80.5464,3.94,96,96,11.16,RU,1681949020
36,avarua,-21.2078,-159.775,78.85,89,75,13.8,CK,1681948849
37,dunedin,-45.8742,170.5036,62.08,82,55,3.0,NZ,1681948825
38,hilo,19.7297,-155.09,80.28,90,86,3.0,US,1681948924
39,provideniya,64.3833,-173.3,26.71,74,20,4.47,RU,1681949021
40,rawson,-43.3002,-65.1023,69.22,48,0,12.66,AR,1681949021
41,tomatlan,19.9333,-105.25,84.16,47,10,10.67,MX,1681949022
42,tura,25.5198,90.2201,75.06,83,9,7.83,IN,1681949022
43,bambous virieux,-20.3428,57.7575,79.21,83,40,11.5,MU,1681949022
44,saint george,37.1041,-113.5841,66.25,15,20,9.22,US,1681949022
45,portland,45.5234,-122.6762,50.61,75,100,7.0,US,1681948766
46,abha,18.2164,42.5053,60.62,82,20,0.0,SA,1681948841
47,port alfred,-33.5906,26.891,76.68,46,93,9.17,ZA,1681949023
48,hobart,-42.8794,147.3294,59.25,75,75,18.41,AU,1681948833
49,saldanha,-33.0117,17.9442,57.25,87,100,17.16,ZA,1681949023
50,brownsville,25.9018,-97.4975,82.09,77,75,18.41,US,1681948779
51,albany,42.6001,-73.9662,39.58,70,93,8.59,US,1681949024
